execution_id,task,complexity_level,complexity_ord,is_complex,task_length,task_word_count,contains_api,contains_database,contains_jwt,contains_csv,contains_etl,contains_multi_agent,contains_authentication,contains_visualization,contains_python,contains_pipeline,contains_crud,planner_execution_time,planner_prompt_tokens,planner_completion_tokens,planner_total_tokens,coder_execution_time,coder_prompt_tokens,coder_completion_tokens,coder_total_tokens,code_length,code_line_count,tokens_per_line,planner_ratio,coder_ratio,code_density,reviewer_status,revision_required,revision_count,total_execution_time,total_tokens,docker_status,has_docker,docker_execution_time,docker_exit_code,reviewer_execution_time,reviewer_prompt_tokens,reviewer_completion_tokens,reviewer_total_tokens
15,Créer une API REST avec JWT et PostgreSQL.,COMPLEX,3,1,42,8,1,1,1,0,0,0,1,0,0,0,0,18.2811,2286,1139,3425,19.0132,7552,10547,18099.0,415.0,129,139.22307692307692,0.15912469801152201,0.8408753019884779,3.1923076923076925,REVISION_REQUISE,1,1,46.1966,32132,NOT_EXECUTED,0,,,8.9023,6854,3754,10608
16,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,3.6557,1445,872,2317,38.514,2188,1810,3998.0,54.0,33,117.58823529411765,0.3669041963578781,0.6330958036421219,1.588235294117647,APPROVED,0,2,88.1029,9699,SUCCESS,1,0.4127,0.0,45.5205,1456,1928,3384
17,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,11.8298,1846,1076,2922,8.8922,1585,2825,4410.0,76.0,28,152.06896551724137,0.3985270049099836,0.6014729950900164,2.6206896551724137,APPROVED,0,2,40.7775,12294,SUCCESS,1,4.0637,0.0,15.9919,1774,3188,4962
18,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,2.8436,1394,992,2386,17.2165,950,2763,3713.0,32.0,25,142.80769230769232,0.3912116740449254,0.6087883259550746,1.2307692307692308,APPROVED,0,0,26.0304,11846,SUCCESS,1,2.9313,0.0,3.0391,2550,3197,5747
19,Créer un programme de statistiques descriptives.,MEDIUM,2,0,48,6,0,0,0,0,0,0,0,0,0,0,0,14.8617,2287,601,2888,14.5279,4646,1427,6073.0,100.0,18,319.63157894736844,0.3222854592121415,0.6777145407878585,5.2631578947368425,REVISION_REQUISE,1,2,59.3445,16228,NOT_EXECUTED,0,,,29.9549,2551,4716,7267
20,Créer un pipeline ETL complet.,VERY_COMPLEX,4,1,30,5,0,0,0,0,1,0,0,0,0,1,0,12.2584,2905,1568,4473,11.4121,14240,18371,32611.0,517.0,237,137.02100840336135,0.12061805630460576,0.8793819436953942,2.172268907563025,APPROVED,0,2,43.4987,47744,SKIPPED_INTERACTIVE_INPUT,1,2.5813,,17.2469,6299,4361,10660
21,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,3.4275,1497,472,1969,27.2174,3327,5114,8441.0,91.0,77,108.21794871794872,0.18914505283381364,0.8108549471661863,1.1666666666666667,REVISION_REQUISE,1,2,45.4254,18768,NOT_EXECUTED,0,,,14.7805,1559,6799,8358
22,Créer une API REST avec JWT et PostgreSQL.,COMPLEX,3,1,42,8,1,1,1,0,0,0,1,0,0,0,0,14.2274,3822,1664,5486,15.466,6725,3131,9856.0,261.0,188,52.148148148148145,0.35758049797940294,0.642419502020597,1.380952380952381,REVISION_REQUISE,1,2,71.3531,39583,NOT_EXECUTED,0,,,41.6597,10375,13866,24241
23,Créer un programme de statistiques descriptives.,MEDIUM,2,0,48,6,0,0,0,0,0,0,0,0,0,0,0,11.3293,1325,1450,2775,39.7026,4466,2383,6849.0,65.0,86,78.72413793103448,0.28834164588528677,0.7116583541147132,0.7471264367816092,APPROVED,0,2,95.9454,19081,SUCCESS,1,0.2212,0.0,44.6922,5231,4226,9457
24,Créer un système de traitement de données complexe.,VERY_COMPLEX,4,1,51,8,0,0,0,0,0,0,0,0,0,0,0,18.8723,2204,2308,4512,11.236,8797,13358,22155.0,723.25,141,156.0211267605634,0.16919788502643718,0.8308021149735628,5.09330985915493,APPROVED,0,1,77.4553,50665,SUCCESS,1,0.4432,0.0,46.9038,14390,9608,23998
25,Créer une fonction qui calcule la somme de deux entiers.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,19.6132,801,973,1774,38.9012,3218,917,4135.0,50.0,11,327.71940789473695,0.3002200033846675,0.6997799966153325,4.166666666666667,APPROVED,0,2,85.461,10482,SUCCESS,1,1.4103,0.0,25.5363,3401,1172,4573
26,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,17.6012,961,522,1483,23.6635,1626,852,2478.0,80.0,37,65.21052631578948,0.3744004039383994,0.6255995960616006,2.1052631578947367,REVISION_REQUISE,1,2,52.0537,7962,NOT_EXECUTED,0,,,10.789,960,3041,4001
27,Créer un système CRUD complet.,COMPLEX,3,1,30,5,0,0,0,0,0,0,0,0,0,0,1,16.8413,1344,1621,2965,38.2693,11020,3376,14396.0,436.0,210,68.22748815165876,0.17078509302459535,0.8292149069754047,2.066350710900474,APPROVED,0,0,72.3553,28737,SUCCESS,1,2.2089,0.0,15.0359,8206,3170,11376
28,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,24.1828,1595,766,2361,24.2457,1285,2383,3668.0,71.0,37,96.52631578947368,0.3916072317133853,0.6083927682866147,1.868421052631579,REVISION_REQUISE,1,4,95.1466,10642,NOT_EXECUTED,0,,,46.7181,3716,897,4613
29,Créer une API avec validation des données.,MEDIUM,2,0,42,7,1,0,0,0,0,0,0,0,0,0,0,15.4656,2232,1274,3506,34.8418,5357,990,6347.0,99.0,54,115.4,0.35583071145843903,0.644169288541561,1.8,APPROVED,0,0,83.2575,16820,SUCCESS,1,2.3978,0.0,30.5523,5481,1486,6967
30,Créer un script qui analyse un CSV.,MEDIUM,2,0,35,7,0,0,0,1,0,0,0,0,0,0,0,20.561,2845,897,3742,5.1058,2277,4224,6501.0,130.0,71,90.29166666666667,0.3653226593771356,0.6346773406228644,1.8055555555555556,APPROVED,0,1,33.2903,24123,SUCCESS,1,3.3621,0.0,4.2614,7275,6605,13880
31,Créer une fonction Python qui calcule une moyenne.,EASY,1,0,50,8,0,0,0,0,0,0,0,0,1,0,0,3.5949,988,968,1956,1.8248,1728,1396,3124.0,33.0,12,240.30769230769232,0.3850393700787402,0.6149606299212599,2.5384615384615383,APPROVED,0,1,9.8422,10112,SUCCESS,1,0.7082,0.0,3.7144,3993,1039,5032
32,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,1.8521,1343,793,2136,8.0784,2241,2526,4767.0,35.0,15,297.9375,0.30943068231203824,0.6905693176879617,2.1875,APPROVED,0,2,26.3641,12469,SKIPPED_INTERACTIVE_INPUT,1,3.8331,,12.6005,3590,1976,5566
33,Créer une API REST simple.,MEDIUM,2,0,26,5,1,0,0,0,0,0,0,0,0,0,0,23.1812,2892,887,3779,4.8654,2985,1151,4136.0,186.0,100,40.95049504950495,0.47744788376500313,0.5225521162349969,1.8415841584158417,APPROVED,0,2,70.6345,12728,SUCCESS,1,0.2528,0.0,42.3352,1542,3271,4813
34,Créer un système multi-agent.,VERY_COMPLEX,4,1,29,4,0,0,0,0,0,1,0,0,0,0,0,21.5532,2554,2143,4697,19.0492,15980,18310,34290.0,605.0,277,123.34532374100719,0.1204760561212712,0.8795239438787288,2.176258992805755,APPROVED,0,2,62.7955,73498,SUCCESS,1,2.3237,0.0,19.8694,17556,16955,34511
35,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,9.983,791,454,1245,27.744,2027,1907,3934.0,75.0,43,89.4090909090909,0.24039389843599152,0.7596061015640085,1.7045454545454546,APPROVED,0,1,54.7611,8695,SUCCESS,1,1.4872,0.0,15.5469,1453,2063,3516
36,Créer un système de traitement de données complexe.,VERY_COMPLEX,4,1,51,8,0,0,0,0,0,0,0,0,0,0,0,16.1166,4475,1565,6040,12.2381,18939,9738,28677.0,201.0,128,222.30232558139534,0.17397816631621396,0.826021833683786,1.558139534883721,APPROVED,0,1,67.771,63473,SUCCESS,1,2.4066,0.0,37.0098,14209,14547,28756
37,Créer une application avec plusieurs fonctions Python.,COMPLEX,3,1,54,7,0,0,0,0,0,0,0,0,1,0,0,2.8447,2559,1798,4357,37.5017,11810,3387,15197.0,435.0,217,69.71100917431193,0.2228188605911834,0.7771811394088166,1.9954128440366972,REVISION_REQUISE,1,4,48.0794,43778,NOT_EXECUTED,0,,,7.733,14430,9794,24224
38,Créer un système CRUD complet.,COMPLEX,3,1,30,5,0,0,0,0,0,0,0,0,0,0,1,15.7112,2279,1410,3689,7.6804,7784,10217,18001.0,102.0,142,125.88111888111888,0.17007837713231905,0.829921622867681,0.7132867132867133,APPROVED,0,0,52.52,48883,SUCCESS,1,0.4458,0.0,28.6826,14959,12234,27193
39,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,3.6339,2326,998,3324,4.4207,4856,4796,9652.0,173.0,55,172.35714285714286,0.2561652281134402,0.7438347718865598,3.0892857142857144,APPROVED,0,0,41.8463,26140,SKIPPED_INTERACTIVE_INPUT,1,0.5564,,33.2353,7020,6144,13164
40,Créer un système CRUD complet.,COMPLEX,3,1,30,5,0,0,0,0,0,0,0,0,0,0,1,4.6142,1703,1523,3226,6.7636,10209,5503,15712.0,294.0,117,133.15254237288136,0.1703453374168339,0.8296546625831661,2.4915254237288136,APPROVED,0,1,59.6767,44423,SUCCESS,1,1.4287,0.0,46.8702,11858,13627,25485
41,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,18.1698,1168,1216,2384,38.0966,2539,3720,6259.0,96.0,95,65.19791666666667,0.2758301515677427,0.7241698484322573,1.0,APPROVED,0,1,67.5119,22905,SUCCESS,1,4.4401,0.0,6.8055,7194,7068,14262
42,Créer un pipeline de traitement CSV.,COMPLEX,3,1,36,6,0,0,0,1,0,0,0,0,0,1,0,20.7747,1455,726,2181,12.519,8064,8176,16240.0,210.0,117,137.6271186440678,0.11839748113566038,0.8816025188643396,1.7796610169491525,REVISION_REQUISE,1,1,56.7625,32571,NOT_EXECUTED,0,,,23.4689,3388,10762,14150
43,Créer un programme de statistiques descriptives.,MEDIUM,2,0,48,6,0,0,0,0,0,0,0,0,0,0,0,3.3754,1982,1414,3396,39.9651,4900,4884,9784.0,73.0,77,125.43589743589743,0.2576631259484067,0.7423368740515933,0.9358974358974359,APPROVED,0,0,80.7283,19445,SUCCESS,1,3.7693,0.0,33.6186,4769,1496,6265
44,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,5.5965,1721,1022,2743,36.5149,3144,538,3682.0,83.0,7,327.71940789473695,0.42692607003891053,0.5730739299610895,5.429173119418936,REVISION_REQUISE,1,5,75.2686,9551,NOT_EXECUTED,0,,,33.1572,1723,1403,3126
45,Créer une fonction qui calcule la somme de deux entiers.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,23.2526,934,388,1322,31.1122,3031,2298,5329.0,77.0,38,136.64102564102564,0.1987671026913246,0.8012328973086754,1.9743589743589745,APPROVED,0,0,93.1811,14339,SUCCESS,1,3.6083,0.0,35.2079,4183,3505,7688
46,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,18.5778,1384,501,1885,8.5286,1195,831,2026.0,26.0,33,59.588235294117645,0.48197391971362824,0.5180260802863718,0.7647058823529411,APPROVED,0,1,42.089,9538,SKIPPED_INTERACTIVE_INPUT,1,0.7154,,14.2672,3236,2391,5627
47,"Créer une application combinant API, base de données et traitement de données.",VERY_COMPLEX,4,1,78,12,1,1,0,0,0,0,0,0,0,0,0,17.9718,4097,1800,5897,7.752,14894,4535,19429.0,657.0,122,157.95934959349594,0.2328437179183448,0.7671562820816552,5.341463414634147,REVISION_REQUISE,1,2,31.2181,48096,NOT_EXECUTED,0,,,5.4943,6404,16366,22770
48,Créer un système multi-agent.,VERY_COMPLEX,4,1,29,4,0,0,0,0,0,1,0,0,0,0,0,14.788,3531,1525,5056,28.2913,15416,18397,33813.0,454.0,379,88.98157894736842,0.13007795415369575,0.8699220458463043,1.194736842105263,APPROVED,0,1,77.2617,65777,SKIPPED_INTERACTIVE_INPUT,1,1.37,,32.8124,10089,16819,26908
49,Créer une fonction Python qui calcule une moyenne.,EASY,1,0,50,8,0,0,0,0,0,0,0,0,1,0,0,7.5294,1392,731,2123,12.8835,2696,1682,4378.0,74.0,29,145.93333333333334,0.32656514382402707,0.6734348561759729,2.466666666666667,REVISION_REQUISE,1,5,42.3802,12739,NOT_EXECUTED,0,,,21.9673,3960,2278,6238
50,Créer un système CRUD complet.,COMPLEX,3,1,30,5,0,0,0,0,0,0,0,0,0,0,1,12.274,3917,1147,5064,9.7981,5304,6292,11596.0,222.0,141,81.66197183098592,0.30396158463385353,0.6960384153661464,1.5633802816901408,APPROVED,0,1,53.017,34178,SUCCESS,1,1.8944,0.0,29.0504,13081,4437,17518
51,Créer un pipeline de traitement CSV.,COMPLEX,3,1,36,6,0,0,0,1,0,0,0,0,0,1,0,9.5279,2686,1489,4175,20.9968,8990,8850,17840.0,295.0,203,87.45098039215686,0.18964342493754258,0.8103565750624574,1.446078431372549,APPROVED,0,1,70.4479,38182,SUCCESS,1,2.8245,0.0,37.0986,10399,5768,16167
52,"Créer une application combinant API, base de données et traitement de données.",VERY_COMPLEX,4,1,78,12,1,1,0,0,0,0,0,0,0,0,0,12.7582,4460,1606,6066,5.5184,18367,13385,31752.0,718.0,346,91.50432276657061,0.1603998096144693,0.8396001903855307,2.069164265129683,REVISION_REQUISE,1,3,22.8075,68690,NOT_EXECUTED,0,,,4.5309,10375,20497,30872
53,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,21.5285,816,560,1376,15.5182,2369,1469,3838.0,36.0,29,127.93333333333334,0.26390487149980824,0.7360951285001918,1.2,APPROVED,0,0,49.2994,8895,SUCCESS,1,3.7257,0.0,8.527,2533,1148,3681
54,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,10.1858,1462,623,2085,25.9947,2204,3373,5577.0,67.0,14,327.71940789473695,0.2721221613155834,0.7278778386844166,4.466666666666667,APPROVED,0,1,40.8863,13050,SUCCESS,1,3.1802,0.0,1.5257,1156,4232,5388
55,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,4.2266,1880,621,2501,18.4816,4788,1746,6534.0,105.0,23,272.25,0.27681239623685666,0.7231876037631433,4.375,APPROVED,0,2,47.4009,19436,SUCCESS,1,4.4566,0.0,20.2361,4006,6395,10401
56,Créer un programme de visualisation de données.,COMPLEX,3,1,47,7,0,0,0,0,0,0,0,1,0,0,0,1.8805,1219,1178,2397,10.0812,8077,6927,15004.0,168.0,127,117.21875,0.13775070398252973,0.8622492960174702,1.3125,REVISION_REQUISE,1,2,27.2727,34962,NOT_EXECUTED,0,,,15.3109,14027,3534,17561
57,Créer une API avec validation des données.,MEDIUM,2,0,42,7,1,0,0,0,0,0,0,0,0,0,0,19.2623,2418,967,3385,3.2662,1858,1328,3186.0,176.0,66,47.55223880597015,0.5151422918886014,0.48485770811139856,2.626865671641791,APPROVED,0,2,44.5148,12078,SUCCESS,1,3.0225,0.0,18.9638,3113,2394,5507
58,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,21.3766,2855,1336,4191,14.283,3190,3361,6551.0,194.0,65,99.25757575757575,0.39015080990504564,0.6098491900949544,2.9393939393939394,APPROVED,0,1,63.752,21368,SKIPPED_INTERACTIVE_INPUT,1,2.6503,,25.442,4688,5938,10626
59,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,23.2445,732,648,1380,18.4801,3495,3247,6742.0,29.0,29,224.73333333333332,0.16990888943609947,0.8300911105639005,0.9666666666666667,APPROVED,0,0,57.9251,13994,SUCCESS,1,0.1312,0.0,16.0692,3007,2865,5872
60,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,22.6605,1323,558,1881,29.1071,1342,2594,3936.0,63.0,36,106.37837837837837,0.32336255801959773,0.6766374419804023,1.7027027027027026,APPROVED,0,2,103.3962,11354,SUCCESS,1,3.4312,0.0,48.1973,2661,2876,5537
61,Créer une application avec plusieurs fonctions Python.,COMPLEX,3,1,54,7,0,0,0,0,0,0,0,0,1,0,0,7.7751,1315,715,2030,29.6164,8310,9690,18000.0,322.0,99,180.0,0.10134797803295058,0.8986520219670494,3.22,APPROVED,0,2,79.5716,40181,SKIPPED_INTERACTIVE_INPUT,1,4.4309,,37.7492,12710,7441,20151
62,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,20.0071,1146,380,1526,4.308,2221,2820,5041.0,57.0,37,132.6578947368421,0.232373991167961,0.767626008832039,1.5,APPROVED,0,2,54.3965,13029,SKIPPED_INTERACTIVE_INPUT,1,1.8639,,28.2176,4126,2336,6462
63,Créer un système multi-agent.,VERY_COMPLEX,4,1,29,4,0,0,0,0,0,1,0,0,0,0,0,17.1424,3000,2180,5180,28.8171,10694,4202,14896.0,185.0,354,41.96056338028169,0.2580195258019526,0.7419804741980475,0.5211267605633803,REVISION_REQUISE,1,2,84.8718,37062,NOT_EXECUTED,0,,,38.9123,6101,10885,16986
64,Créer un programme de visualisation de données.,COMPLEX,3,1,47,7,0,0,0,0,0,0,0,1,0,0,0,17.1904,2240,1711,3951,2.1547,7245,2514,9759.0,344.0,204,47.604878048780485,0.28818380743982497,0.711816192560175,1.6780487804878048,APPROVED,0,0,42.337,32269,SUCCESS,1,2.3255,0.0,20.6664,13893,4666,18559
65,Créer un système CRUD complet.,COMPLEX,3,1,30,5,0,0,0,0,0,0,0,0,0,0,1,7.4508,1838,894,2732,35.5757,7527,10954,18481.0,337.0,49,327.71940789473695,0.1287889501720643,0.8712110498279357,5.429173119418936,APPROVED,0,2,55.0169,36701,SUCCESS,1,1.7983,0.0,10.1921,9290,6198,15488
66,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,24.9414,1844,1203,3047,28.3344,3584,5017,8601.0,60.0,52,162.28301886792454,0.2615899725274725,0.7384100274725275,1.1320754716981132,APPROVED,0,2,86.0367,23840,SUCCESS,1,2.5954,0.0,30.1654,4701,7491,12192
67,Créer une API avec authentification et base de données.,VERY_COMPLEX,4,1,55,9,1,1,0,0,0,0,1,0,0,0,0,1.2276,2190,1594,3784,18.6779,12333,6052,18385.0,723.25,176,103.87005649717514,0.17068879967522216,0.8293112003247779,4.086158192090395,REVISION_REQUISE,1,2,51.998,39950,NOT_EXECUTED,0,,,32.0925,7060,10721,17781
68,Créer un programme de statistiques descriptives.,MEDIUM,2,0,48,6,0,0,0,0,0,0,0,0,0,0,0,22.7994,2763,1457,4220,21.6521,5841,4735,10576.0,86.0,71,146.88888888888889,0.28521221951878883,0.7147877804812112,1.1944444444444444,APPROVED,0,1,83.3026,23714,SUCCESS,1,1.4775,0.0,37.3736,4518,4400,8918
69,Créer un programme de visualisation de données.,COMPLEX,3,1,47,7,0,0,0,0,0,0,0,1,0,0,0,7.6546,1172,984,2156,22.8981,11264,4534,15798.0,304.0,183,85.8586956521739,0.12008466079982176,0.8799153392001783,1.6521739130434783,REVISION_REQUISE,1,2,70.3594,30403,NOT_EXECUTED,0,,,39.8067,6596,5853,12449
70,Créer un programme de statistiques descriptives.,MEDIUM,2,0,48,6,0,0,0,0,0,0,0,0,0,0,0,14.4045,2708,950,3658,4.9739,5789,5972,11761.0,104.0,105,110.95283018867924,0.23723976911602568,0.7627602308839743,0.9811320754716981,APPROVED,0,2,53.2212,25756,SUCCESS,1,0.8496,0.0,32.9932,5034,5303,10337
71,Créer une API REST simple.,MEDIUM,2,0,26,5,1,0,0,0,0,0,0,0,0,0,0,6.7548,2862,904,3766,3.5557,2386,1082,3468.0,94.0,64,53.353846153846156,0.5205971799834117,0.47940282001658835,1.4461538461538461,REVISION_REQUISE,1,2,33.6113,21590,NOT_EXECUTED,0,,,23.3008,7128,7228,14356
72,Créer une API avec validation des données.,MEDIUM,2,0,42,7,1,0,0,0,0,0,0,0,0,0,0,5.8099,999,503,1502,12.7808,5378,1469,6847.0,89.0,55,122.26785714285714,0.17990178464486764,0.8200982153551324,1.5892857142857142,REVISION_REQUISE,1,5,38.9029,17007,NOT_EXECUTED,0,,,20.3122,5313,3345,8658
73,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,19.6901,1134,434,1568,33.8069,1978,3081,5059.0,36.0,18,266.2631578947368,0.23660781650822393,0.7633921834917761,1.894736842105263,APPROVED,0,0,69.2064,8575,SUCCESS,1,1.9523,0.0,13.7571,1444,504,1948
74,Créer une fonction qui calcule la somme de deux entiers.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,18.0197,2071,709,2780,6.8677,3144,2533,5677.0,42.0,11,327.71940789473695,0.3287217689487998,0.6712782310512002,3.5,APPROVED,0,0,30.293,11828,SUCCESS,1,2.0842,0.0,3.3213,2016,1355,3371
75,Créer un système de traitement de données complexe.,VERY_COMPLEX,4,1,51,8,0,0,0,0,0,0,0,0,0,0,0,6.6477,1723,716,2439,23.1993,21459,7078,28537.0,606.0,348,81.76790830945559,0.07873837809917356,0.9212616219008265,1.7363896848137537,REVISION_REQUISE,1,4,59.7665,55510,NOT_EXECUTED,0,,,29.9196,21331,3203,24534
